author,date,rating,restaurant,review
"['Amber R.', ""Elite '2020""]",['8/29/2020'],['4 star rating'],['Parkside Bar & Grill'],"[""This dining experience was genuinely so hot and cold. If you want just the overview then I'm going to chalk it up to 1.) COVID 2.) the fact that they have only been open for barely two months and 3.) Getting dinner on a busy Friday night. And yes, I would go back but only to checkout their Happy Hour. "", ""Now let's \xa0just get the uglies out of the way - CONS: "", '* They were very busy and the waitstaff were spread thin so there were extended periods of time before your waiter would come back to your table. ', '* very limited and very basic menu. The food also tasted pretty average. ', ""* they couldn't inform me of any gluten free options available and very limited vegetarian options if that's your jam. "", ""* We ordered Parmesan Truffle fries as an appetizer and they originally brought out what I thought was a side order of fries with how small the basket was but I didn't say anything. "", ""Now let's get into why I'm giving this place 4 stars! PROS:"", '* When our waiter (Luis) was able to get to our table he was extremely nice and personable. It was so apparent that he was doing everything he could to make our experience enjoyable. ', '* I had ordered the Jadori chicken but the waiter advised they had just run out 30 minutes prior. I asked him about gluten free options and he came up with the idea of ordering The Thunderbird (which is a spicy fried chicken sandwich) with grilled chicken instead and as protein style (wrapped in lettuce). I really like that he was an on the spot problem solver. They ended up actually giving me the sandwich with bread instead of lettuce so I just tossed the buns and ate the chicken. ', '* Our waiter was the one that noticed he brought out a side order of fries so he took it upon himself to bring out the actual appetizer order, obviously free of charge. ', '* he also brought me a side salad free of charge just to apologize about the fact that the Jadori chicken was no longer an option. ', ""So there you have it! Again, I would go back but only to checkout their Happy Hour menu. If that visit ends up being similar to my first visit then I don't think I would return."", 'Dear Amber, thank you for your feedbacks, you are right we were under staffed last night, due to the hot weather and the fire, we had been slow and last night it was the only busy night that caught us off guard! As for the menu, it’s designed for covid environment, we will have more items when dine in is allowed! Thank you for your support!']"
['Stephany A.'],['10/17/2020'],['5 star rating'],['Parkside Bar & Grill'],['Amazing service and drinks! Owner came to our table and made us feel extra special. Highly recommend.']
['Gabrielle T.'],['9/28/2020'],['4 star rating'],['Parkside Bar & Grill'],"[""Pretty good little spot. Never been there pre-pandemic but they've got a little outdoor patio that we decided to venture out to in need of some sunshine. Sadly, we were too late for their brunch menu--which is a shame, because another guest we met there was raving about it! But the food was decent and the drinks were definitely worth a visit. I had a veggie burger and my companion had the beefier and cheesier alternative, which he liked. The veggie burger wasn't spectacular but it wasn't bad at all, just kinda mid-tier. The staff were friendly and made sure we had everything we needed, and the owner even stopped to make sure we were having a good time. (Another benefit to supporting nice lil' local spots in the middle of all this chaos!) Go get a bite and sip curbside at Parkside.""]"
['Monique E.'],['9/30/2020'],['5 star rating'],['Parkside Bar & Grill'],"[""My husband and I enjoyed this place. The food did not disappoint. My daughter got the bbq pork sliders, my husband got the wings and ribs and I got the...I think it's called the Thunderbird (Nashville chicken sandwich). I also got the brownies with ice cream. Everything was really good! No complaints! The owner is super nice & personable. You can tell he loves what he does. That makes all the difference in running a business that you love! We will be back for brunch! (I forgot to take pictures of all of the food) just know the food and drinks looked good and tasted good as well!""]"
['Sandra V.'],['10/3/2020'],['5 star rating'],['Parkside Bar & Grill'],"[""I've been here twice in the last 2 -3 weeks and both times loved it. Not only is the food delicious but \xa0the service is excellent. I like how the owners come by to ask and make conversation. Today I think I might've forgotten to order for Salmon on my toast and the owner brought it on the side. Def appreciate it. Thank you""]"
"['Amanda M.', ""Elite '2020""]",['7/27/2020'],['3 star rating'],['Parkside Bar & Grill'],"['I will update review once I go back and they have things in order. So this is strictly based off my experience on 7/27/20. \xa0We arrived fir happy hour. ', 'They have 8 or 9 tables outside, all covered with umbrellas and shade sails, which was great! Most tables are for two and a few will seat 4. \xa0Greeted with hand sanitizer as you enter and masks are required. They had one server fir the entire outside and one ""runner"". Every table was full and it was too much for them to handle. ', 'Guests were served menus/water and orders were taken out if order based on arrival. ', 'I appreciate the paper menus for sanitary reasons, but the runner handed us plastic ones as well. ', 'The raspberry lemon drop was delicious!! So tasty, fresh and I wanted more. I ordered wings and tacos to go, but came home to tacos and ribs instead. The tacos on the happy hour menu were yummy and the meat in the ribs were so tender. ', '5 stars for drinks and food. 2 for organization, staffing and experience.']"
"['Chris Y.', ""Elite '2020""]",['7/31/2020'],['4 star rating'],['Parkside Bar & Grill'],"[""Parkside Bar & Grill is a new restaurant that has only been open for roughly a month now. A new restaurant opening now in it of itself is pretty gutsy, so after browsing on Yelp for a new place to eat at, I thought I'd give this place a try."", 'Located right next to Taqueria Los Dos Gallos, in the Los Todos square, it has replaced a previous bar that used to occupy this space.', ""The decor is nice as far as the outside seating is concerned (since there's no indoors currently, so I can't speak to that yet), and all the tables adequately spaced, and there's even tables on the sidewalk, so a pretty good number of tables if they do get a bit busier, which they were indeed tonight. For big parties? Possibly? But it's probably better fit for 2-4 mostly, and maybe 5-6 if you want a bigger party. More than 6 will probably be hit or miss depending on how busy they get since they don't have any larger tables."", 'The service here is great. From the hostess, to the server, to the manager, and even to the person who brought our food out from the kitchen, they were all very friendly and provided a welcoming and open atmosphere.', ""They do not have a huge variety of options on their food menu, so if you're looking for choices, it's not going to be there. But what they do have on their menu seems to touch upon at least a little bit of everything, so there's still enough there to give you options. Their drink menu here is more generous, and have a wider selection, at least the hard liquor goes."", 'Price wise they are about on par, and maybe a bit cheaper if you were to compare to some of the other spots in this busy part of Concord.', 'The food here overall was nice. Everything was well made, well portions, and delicious.', ""Appetizers we had were the calamari and the ribs. The calamari wasn't anything out of the ordinary, but is better than your typical calamari from most places as far as quality of the food. Tender, well fried, and the only thing is that it's a bit smaller than most calamari that is used, but at least it was tender, so not too much to complain about. The cocktail sauce was nice, even though I usually don't like cocktail sauce, but theirs had an extra kick to it, almost like a chili flavor added to make it a bit different. The ribs here were very nicely done. It's charred very well on both the top and the bottom of the rib that it gives off a nice crunch to it when you bite in, but as you continue to bite it, the meat is not dried and is still tender and juicy. While not a whole lot of meat on the rib, it is cooked very well."", ""Now, the entrees we had today were the scampi pasta w/shrimp, the alfredo pasta w/steak, and the chicken sliders w/fries. We'll start with the chicken sliders since it was the least appealing of them all. It was just a basic bbq chicken slider. I was hoping it'd be a bit juicier, but felt a bit dry for my liking. It wasn't bad, just wasn't great. The fries though were very nicely made, and for fries, that's usually pretty hard to do since they usually just all turn out mediocre, but these fries had a bit more texture to them, and almost had a potato wedge like feel to them, but I was eating a fry, so worked out well. The pastas were both nicely made. The scampi sauce is good, but I just wish there was more of the actual sauce as it felt a bit dry for a pasta. The alfredo sauce was great, and certainly a lot heftier portions than the scampi. Both pastas had cheese sprinkled on top too, so make sure to mix it in upon arrival if you want to make sure they're nice and melted for the meal. I think this is the one part why I wish the scampi had more sauce because mixing the cheese into that pasta didn't make much of a difference due to it not being all that hot from the lack of sauce. The shrimp here is definitely worth it, as the size of the shrimps here are not just your typical small shrimps on a skewer, but they're plump, nicely cooked, and worth the portion. The steak here is also nice, as it had plenty of the char flavor on there, which makes it that much more aromatic, so it's appreciated, and it was cooked perfectly."", ""All in all, I'd definitely recommend dropping by this new restaurant, especially if you're craving for a place to sit down at. The tables are adequately spaced apart, and all the servers were wearing masks and taking precautions as necessary. This visit wasn't without some hiccups, as there were issues with the ponzu skirt steak, in that they currently do not have it apparently, which was one of the reasons why I wanted to come here since I saw that in the pictures on Yelp. I was a bit disappointed they did not have it this time, but hopefully in my next visit I'll be able to give it a try because almost everything else here was great. And if you're worried about not having seating, they do take reservations, and no minimum party requirement, which is always a good option to offer to customers."", 'Thank you Chris! We will try to make some adjustments based on your feedbacks! Hope to see you again soon!']"
['Steve J.'],['10/16/2020'],['4 star rating'],['Parkside Bar & Grill'],"[""Actually ate inside!! Had a burger cooked nicely. Her chicken sandwich was crunchy. Beer cold service very good. We'll be back.""]"
"['Ashley H.', ""Elite '2020""]",['7/21/2020'],['4 star rating'],['Parkside Bar & Grill'],"[""It was a perfect day so my boyfriend and I decided to go out and try a new spot. This place is in the perfect location, it's across the street from todos santos plaza."", ""I decided to order a couple appetizers to try out since I wasn't really set on a full meal."", ""I'm obsessed with calamari so that was the first thing I ordered. It was so delicious. Not rubbery or chewy at all. Both sauces greatly complimented the calamari but out of the two the white dipping sauce was my favorite. Sorry not sure what it was. "", 'The mini sliders were super good. You have a choice between chicken or beef and we chose chicken. I would like to order the beef next time just to compare the two.', ""The ribs were a must! The meat on the ribs just fell off. There was a little too much bbq sauce but other than that super delicious. Oh and the fries come with the ribs which I can't lie was a bonus. Who doesn't like fries! "", 'The last appetizer we got was bruschetta. My boyfriend loved it but I just thought it was ok. It was good but nothing special. ', 'Journey was our waitress and she was amazing! She was so sweet!', 'Thank you for your feedbacks! We will work harder to earn for the 5 stars next time! We are adding a couple new items, and a happy hour menu soon! Follow us on Facebook or IG, take care']"
['A R.'],['9/21/2020'],['4 star rating'],['Parkside Bar & Grill'],"['My hubby & I came here for an early dinner last Friday and we really enjoyed our meals. Excellent service from our 2 waiters too! We ordered 2 cocktails, appetizer onion rings, bacon burger, Mediterranean steak pitas and truffle fries. And we finished with the pear & plum cobbler and a glass of rose. The food was delicious! 8/10 for food. The cocktails were beautiful too. The bartender gets a 10 for presentation but both drinks were extremely heavy on ice and overall just weak. It honestly tasted more like a mocktail. I was so excited for the beautiful cocktail but when we finished I felt like we paid for a $10-12 juice. I have to give our cocktails 6/10. But I will give the cocktails another chance next time before just sticking to beer/wine. This restaurant has great food, nice patio and excellent service! So happy we gave it a try. We will be back.']"
['Monique T.'],"['7/19/2020', '11/9/2018']","['5 star rating', '5 star rating']",['Brasas do Brazil Brazilian Steakhouse'],"['Update: adapting to our new circumstances. Brasas do Brasil now works as a pick up and delivery service. Absolutely amazing food for a great cost. Worth it!!! ', 'I am so so excited that I finally have the chance to eat great quality brazilian food in this area. ', 'The food is so delicious. I am one not to eat side dishes when eating at a steakhouse as I am there to enjoy the delicious variety of meats but their feijoada is to die for. It is so so tasty I have come here a few times and paid the full price primarily to eat their feijoada. Feijoada is a beans and pork dish very popular in Brazil. ', 'The service is impeccable and the selection of meat is great quality. ', 'If you are adventurous, have some chicken heart. It is delicious. ', 'Eat some pineapple, it helps you digest all of the meat. Always eat some fiver with the meat as it helps you feel less he', 'I am so so excited that I finally have the chance to eat great quality brazilian food in this area. ', 'The food is so delicious. I am one not to eat side dishes when eating at a steakhouse as I am there to enjoy the delicious variety of meats but their feijoada is to die for. It is so so tasty I have come here a few times and paid the full price primarily to eat their feijoada. Feijoada is a beans and pork dish very popular in Brazil. ', 'The service is impeccable and the selection of meat is great quality. ', 'If you are adventurous, have some chicken heart. It is delicious. ', 'Eat some pineapple, it helps you digest all of the meat. Always eat some fiver with the meat as it helps you feel less heavy.']"
['Natalie T.'],['6/14/2020'],['5 star rating'],['Brasas do Brazil Brazilian Steakhouse'],"['This review is for their take out only. ', 'Placed a phone order for take out at 6:30pm on a Saturday for:', 'Dry Pork Ribs - Full Rack (takes 1 hour to prep)', 'Sides of Mashed potatoes, grilled pineapple, farofa', 'Picanha - Top Sirloin served with mashed potatoes, veggies, salad, and cheese bread.', 'We arrived at 7:30pm at the restaurant to pick up and I was pleasantly surprised at their set up that included :', 'A table labeled with ""clean"" pens ', 'A table labeled with ""dirty"" pens ', 'A table with a box of small and medium gloves in case you want to use a pair when picking up your food', 'Plenty of hand sanitizer on the table for use as well', 'The food was separated in two bags, one for cold food and one for hot food. I appreciate this because no one wants a warm salad lol', 'Drove home with the food ~ 15-20 mins and everything was still plenty warm without needing anything to be reheated.', 'Ok food review time!', 'The ribs were AMAZING, dry ribs but JUICY and tastefully seasoned. The sides were HUGE - mashed potatoes and gravely very creamy but not too thick. It was our first time having farofa but it went well over the mashed potatoes. ', ""The grilled pineapple was one of the best I've ever had, I couldn't stop!! I've had grilled pineapple from Fogo de Chao, Espestus, Galpao and was never the biggest fan. It might be their seasoning on the pineapple that was just so perfect."", 'Veggies were perfect, not too under or overcooked.', ""The picanha was a bit different than I expected. I'm used to having it in a medallion shape instead of a cube."", ""It was cooked perfectly to medium rare but a bit too chewy for my taste. I'm used to having picanha at the table where it's a little crispy on the outside with enough salt seasoning and then the inside being juicy and tender. "", ""These were.. alright, not sure I'd order it again with the usual Brazilian steakhouse expectation of picanha."", 'Cheese bread was wonderful as always!! ', ""I'd definitely order from here again, the portions for sides were huge and totally worth it.""]"
['Latrese J.'],['6/21/2020'],['5 star rating'],['Brasas do Brazil Brazilian Steakhouse'],"['Pre COVID-19', 'Great food and great service! Large variety of meats that just keep coming and coming. Salad bar has a variety of options as well.']"
['Vivian T.'],['6/3/2020'],['4 star rating'],['Brasas do Brazil Brazilian Steakhouse'],"['#15 family meal and lamb chop meal', ""There's even more sides not pictured because the table was already full! We made fried rice the next day with left over rice and chicken! Meal was delivered on time and still warm. One compliant was that the meat was kinda tough and overcooked. We ordered the meat medium rare, it came cooked well. But besides that the flavor of everything was pretty spot on. First time trying this restaurant and it's take out style. I'll probably come back to try the restaurant dinning in. Tbh steak always comes overcooked in every takeout situation. Wish there was a way out of it, but this makes it really hard to order more expensive cuts if not cooked right.""]"
['Lynn T.'],['10/18/2020'],['5 star rating'],['Brasas do Brazil Brazilian Steakhouse'],['Always pleasurable here! Everything is excellent including all servers and the sweetest host/owner/manager. All meats are flavorful. So happy they have return from SIP. Hubby is a happy man!']
['Rob S.'],['10/17/2020'],['2 star rating'],['Brasas do Brazil Brazilian Steakhouse'],"[""First time at the place made reservations and mention it's my wife's birthday. Guys that were serving our food was Very courteous. Food was good.Our server in the end was no where to be found was over charged for couple drinks and my 6 year old. Bus boy who came to pick up our plates asked if we were celebrating any occasion and brought \xa0us birthday Dessert which was terrible. Than they tried charging us for it. \xa0For what they charge service overall was terrible.""]"
"['Jinthana S.', ""Elite '2020""]",['3/9/2020'],['5 star rating'],['Brasas do Brazil Brazilian Steakhouse'],"['What a fun experience! My first time at a Brazilian steakhouse & I loved it! ', ""Definitely come here on an empty stomach because you'll be served with I think 17-18 different style meats. From ribeye, to pork belly, salmon, to filet mignon, I can go on. I believe it's $60 per person on Saturday & Sunday for the full salad bar, hot station, and the rotation of the meats. "", ""The salad bar includes some veggies and extras on the side that you can get. It was hard to say what meat was my favorite because I couldn't remember them all BUT, if you come here, you NEED to try the garlic bread that they serve. It's sooooo amazing and soft and it was just everything. "", 'I love the concept of flipping the card - green for them to come & red for them to pass you when coming by with meats. ', 'Definitely make sure to pay attention to your card because they will come continuously! I got overwhelmed for a second but it was such a fun experience. ', ""Service was amazing and everyone coming by was super friendly and the atmosphere itself was just very welcoming. If you're new there, they do explain how everything works, so don't be afraid to try! "", ""I also recommend booking a reservation & you can conveniently book on yelp! So if you're reading this and thinking about trying this place, make your reservation here thru yelp!"", 'Overall, such a fun experience with great tasting food! Would highly recommend trying this experience and restarting if you want something new and some great food.']"
"['Harvey K.', ""Elite '2020""]",['2/2/2020'],['4 star rating'],['Brasas do Brazil Brazilian Steakhouse'],"[""Opened in 2018, Brasas Do Brazil is a small churrascaria located in the Concord Park 'N' Shop near downtown. It was the first of its kind in central Contra Costa County. It served as the venue for my best friend's birthday luncheon on 11/22/2019."", ""I had made a reservation via Yelp a week prior so when our group of eight (seven adults and a baby) arrived at noon, our table was ready. The interior was classy and intimate and looked nothing like its former incarnation as Mimi's Cafe. We were seated in a more private room. Soon after we sat down, our server came by to introduce herself. She explained how the AYCE works and took our drink order. The system here was identical to other churrascarias in the Bay Area except for the price."", 'Their salad bar featured a wide array of fresh vegetables/salads, cheeses, cured meats, smoked salmon etc. I sampled quite a few items and they all tasted delicious. The smoked salmon, heart of palm, and cheesey rice balls were my favorites.', 'The meat selection during lunch was not as extensive as other churrascarias. There were only 10 items or so circulating while we were here and the more premium cuts, such as filet mignon, were absent. I tried everything but the chicken drumstick. Most of the items were cooked nicely and seasoned well, but I did find a couple that were bland. My two favorites were the NY steak and roasted lamb. They were juicy and flavorful.', 'I was very pleased with the service. The staff members were very friendly and welcoming and attentive service was provided by them throughout the meal. They also gave the birthday boy a complimentary dessert and serenaded him with a song in Portuguese!', 'The total, with gratuity added, was less than $300. All things considered, I thought it was a good dining experience. The food was generally delicious, the pricing was fair, and service was stellar. I will return for sure.', 'BONUS MATERIAL:', '- Ample parking on site.', '- Major credit cards accepted.', '- For large parties, 18% gratuity automatically added to your check.']"
"['Neloffer E.', ""Elite '2020""]",['1/21/2020'],['5 star rating'],['Brasas do Brazil Brazilian Steakhouse'],"[""Should I start with how amazing the service was or how amazing the food was. I had made reservations through yelp although it was not needed since it wasn't crowded on a Tuesday night. We were greeted by the host and seated to our table. There is a big salad bar filled with so many options to choose from but before we began on our feast the server explained to us how the whole process works. "", ""I was really happy with the salad bar because they had all kinds of sides to choose from and how elegantly it was prepared and served. As my husband and I were eating our sides the servers came with different kind of meat options to choose from. We were so happy with the service because we had told them ahead of time that we don't eat pork and that we prefer our meat well done. So everything the servers made their rounds with different meats and speciality's to choose from it was always well done. "", ""We were served with so many variety of meats that I didn't know all the names too. The names I do remember was lamb chops, beef ribs, flank steak, newyork steak, grilled shrimp, grilled chicken leg, grilled pineapple,garlic steak and few other dishes which I forgot the names too. My top 3 favorites were the flank steak, garlic steak, and shrimp. All the meats were so juicy, tender, and delicious. It was flavorful and with every bite my mouth with just burst with flavors. "", 'The chimichurri sauce was so good and went really well with the meats. I would pour the sauce onto the meats and it would give a refreshing taste. ', 'The service was phenomenal! All the servers were friendly and was always trying to help my husband and I have a wonderful time. There is not one single thing I can complain about the service. We were also given the dessert menu to choose any dessert that was on the house because it was my husbands birthday. That was really nice of them and we were really happy we got to try their popular Brazilian dessert the creme de papaya. ', 'Amazing Brazilian steak house!!!!!']"
"['Rachel L.', ""Elite '2020""]","['5/14/2020', '9/24/2018']","['5 star rating', '4 star rating']",['Brasas do Brazil Brazilian Steakhouse'],"['I wanted to say thank you to the staff at Brasas. \xa0I know this is a difficult time and while the customers are missing the true experience of dining in, Brasas has made it possible to take home their little piece of heaven.', ""My husband ordered the family meal for Mother's Day and it was exactly what we needed. \xa0There was so much food! \xa0Everything was packed and so delicious! \xa0We were bummed that the pineapple was missing, but it's ok."", 'We had 4 types of meat, garlic bread, cheese bread, rice, mashed potatoes, salad, soup, and beans. \xa0It was so much that we were able to spread out to dinner also.', ""I can't wait until the restaurant opens up so we can enjoy all the great choices like before. \xa0Take care, everyone!"", 'I only give 4 stars because I wish they had a bigger meat selection like pork belly. \xa0Aside of that, their customer service is on point and definitely worth the price per person with the attention you get from the staff.', ""The food is amazing and don't get me started on the cheese bread. \xa0I would solely go there for that because it's THAT good. \xa0There's plenty of choices for different food restrictions, which is also nice."", ""Go there hungry so you can take advantage of the price. \xa0I'm so glad we have this in Concord because Concord is definitely coming up in the food game.""]"
"['Priya J.', ""Elite '2020""]",['8/23/2020'],['4 star rating'],['Brasas do Brazil Brazilian Steakhouse'],"[""This place is really yummy! Its a local brazillian steakhouse I can't wait for to reopen. Love all the meat options available especially the parmesan beef and lamb. The employees and food are wonderful. The red meats are more on the rare side and ill have to make sure to ask if the meats can be cooked to medium next time I'm dining here.""]"
"['Monique L.', ""Elite '2020""]",['12/1/2019'],['5 star rating'],['Brasas do Brazil Brazilian Steakhouse'],"[""I love this place! Upon the recommendation of friends, I've celebrated a family members 50th, my daughters return home from the military, date night with my grandson, and just because with friends. Each experience has been phenomenal. The staff are authentic; some from here and abroad making the experience ever so rich. The salad bar and sides are fresh, plentiful and tasty especially, the bacon, hot bean side and cheeses. Though meat selection is smaller during the week, the price is right and experience won't disappoint. Great drinks and wine selection. Highly recommend the traditional orange rum drink. The weekend is pricey but the selection is vast and will have your palate doing happy dances! Bacon wrapped filets, pork ribs, lamb chops, chicken hearts oh, my! Mouth wateringly good. Save the best for last- roasted pineapple. Hands down, the best dessert!"", ""Can't wait for the next time.""]"
['Monet C.'],['9/30/2020'],['4 star rating'],['Brasas do Brazil Brazilian Steakhouse'],['I came here a few month ago. I like it. They come around and bring different type of meat to your plate.']
"['Dario O.', ""Elite '2020""]",['10/13/2019'],['3 star rating'],['Brasas do Brazil Brazilian Steakhouse'],"['My girlfriend took me here for my first Brazilian steakhouse restaurant experience on my birthday so shoutout to the boo Rachel C! :)', 'Reservations were made I believe a week prior through yelp with no issues. We were a little behind on schedule and were fortunate enough to push our spot further after lunch. ', 'We were greeted by our server (sorry I forgot his name), and he was very polite and accommodating to our needs. The inside is very clean, staff looks professional and the salad bar was well stocked and maintained. ', ""We sat in a corner spot of the restaurant and noticed we weren't being offered much of the selections even though our cards were flipped green which was a little disappointing. However it did get better through the halfway point of our experience. Hence the 3 stars instead of 4. "", ""The salad bar was hellla good! I wish they offered crackers with the cheese and salmon but they do offer bread with it. I recommend using their cheese bread that's offered with your meal with the cheese and salmon. Be careful not to each to eat hella salad and appetizers because you wanna save your appetite for the meatssss."", ""The selections of meat was pretty good, but after a while the majority of meats tasted the same. Each selection of meat was tender but I did find the well dones to be a little on the tougher side. The grilled pineapple with cinnamon and brown sugar is to. die. for! It was hella juicyyy! I didn't expect the sugar and cinnamon to go so well with it! We had créme brûlée for dessert. I'm honestly not a huge fan of it, but I did enjoy theres'."", 'Prices were reasonable for lunch time. Approx $60-$65 for two people. ', ""Anywhoo, do I recommend this restaurant? Answer: yeahhh, I'd try it again in the future. "", '#FinallyELITE']"
"['Gaby A.', ""Elite '2020""]",['4/17/2020'],['3 star rating'],['Brasas do Brazil Brazilian Steakhouse'],"['My second time here. First visit was a better experience. I have to start off that all the staff is super nice! Our waitress was not as attentive tho seemed to be very busy and being next to a large loud party that had some party members just stand by the table was not very pleasant. The tables were so close it was difficult to talk with our own dinner party and distracting. There is a private back room not sure why that is not used in these instances. The back room had customers but not in large parties. Tables are just to crammed! As far as the food everything was great! My fav is the grilled pineapple with cinnamon and filet minon, which by the way i had to request. Waiters were not just walking around with it. If you like salmon you can request as well it was very delicious! Salad bar was clean and stocked up. Many choices of cheeses as well as salads and veggies.']"
